FORNECEDOR,Valor/moeda objeto,Data de lançamento,,,NOME TRANSPORTADORA,VALOR
TRANSPORTADORA COMBINADA,"  239,67 ",4/2/2025,,,,
TRANSPORTADORA COMBINADA,"  239,50 ",4/4/2025,,,,
TRANSPORTADORA COMBINADA,"  239,28 ",4/8/2025,,,,
TRANSPORTADORA COMBINADA,"  237,91 ",4/3/2025,,,,
TRANSPORTADORA COMBINADA,"  237,35 ",4/4/2025,,,,
TRANSPORTADORA COMBINADA,"  2.411,85 ",5/8/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  1.417,70 ",5/7/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  1.417,70 ",5/13/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  1.011,65 ",5/22/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  1.011,64 ",5/28/2025,,,,
TRANSPORTADORA COMBINADA,"  982,53 ",5/14/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  884,83 ",5/24/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  884,83 ",5/22/2025,,,,
TRANSPORTADORA COMBINADA,"  623,26 ",5/14/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  609,22 ",5/12/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  583,05 ",5/16/2025,,,,
TRANSPORTADORA COMBINADA,"  563,40 ",5/8/2025,,,,
TRANSPORTADORA COMBINADA,"  463,94 ",5/3/2025,,,,
TRANSPORTADORA COMBINADA,"  451,91 ",5/2/2025,,,,
TRANSPORTADORA COMBINADA,"  442,39 ",5/14/2025,,,,
TRANSPORTADORA COMBINADA,"  434,63 ",5/3/2025,,,,
TRANSPORTADORA COMBINADA,"  431,60 ",5/14/2025,,,,
TRANSPORTADORA COMBINADA,"  426,90 ",5/16/2025,,,,
TRANSPORTADORA COMBINADA,"  425,93 ",5/3/2025,,,,
TRANSPORTADORA COMBINADA,"  422,94 ",5/14/2025,,,,
TRANSPORTADORA COMBINADA,"  420,84 ",5/14/2025,,,,
TRANSPORTADORA COMBINADA,"  416,86 ",5/14/2025,,,,
TRANSPORTADORA COMBINADA,"  395,57 ",5/9/2025,,,,
TRANSPORTADORA COMBINADA,"  339,73 ",5/22/2025,,,,
TRANSPORTADORA COMBINADA,"  338,78 ",5/15/2025,,,,
TRANSPORTADORA COMBINADA,"  327,93 ",5/14/2025,,,,
TRANSPORTADORA COMBINADA,"  323,44 ",5/9/2025,,,,
TRANSPORTADORA COMBINADA,"  323,44 ",5/3/2025,,,,
TRANSPORTADORA COMBINADA,"  321,76 ",5/7/2025,,,,
TRANSPORTADORA COMBINADA,"  308,44 ",5/27/2025,,,,
TRANSPORTADORA COMBINADA,"  305,72 ",5/8/2025,,,,
TRANSPORTADORA COMBINADA,"  302,34 ",5/3/2025,,,,
TRANSPORTADORA COMBINADA,"  298,11 ",5/20/2025,,,,
TRANSPORTADORA COMBINADA,"  295,56 ",5/8/2025,,,,
TRANSPORTADORA COMBINADA,"  293,10 ",5/20/2025,,,,
TRANSPORTADORA COMBINADA,"  292,69 ",5/8/2025,,,,
TRANSPORTADORA COMBINADA,"  290,03 ",5/7/2025,,,,
TRANSPORTADORA COMBINADA,"  288,57 ",5/8/2025,,,,
TRANSPORTADORA COMBINADA,"  288,45 ",5/8/2025,,,,
TRANSPORTADORA COMBINADA,"  287,45 ",5/10/2025,,,,
TRANSPORTADORA COMBINADA,"  282,91 ",5/23/2025,,,,
TRANSPORTADORA COMBINADA,"  282,49 ",5/16/2025,,,,
TRANSPORTADORA COMBINADA,"  281,17 ",5/3/2025,,,,
TRANSPORTADORA COMBINADA,"  280,53 ",5/20/2025,,,,
TRANSPORTADORA COMBINADA,"  278,84 ",5/3/2025,,,,
TRANSPORTADORA COMBINADA,"  278,16 ",5/16/2025,,,,
TRANSPORTADORA COMBINADA,"  277,84 ",5/22/2025,,,,
TRANSPORTADORA COMBINADA,"  277,17 ",5/22/2025,,,,
TRANSPORTADORA COMBINADA,"  275,22 ",5/8/2025,,,,
TRANSPORTADORA COMBINADA,"  274,76 ",5/8/2025,,,,
TRANSPORTADORA COMBINADA,"  274,64 ",5/8/2025,,,,
TRANSPORTADORA COMBINADA,"  274,36 ",5/15/2025,,,,
TRANSPORTADORA COMBINADA,"  274,15 ",5/8/2025,,,,
TRANSPORTADORA COMBINADA,"  274,07 ",5/8/2025,,,,
TRANSPORTADORA COMBINADA,"  273,65 ",5/8/2025,,,,
TRANSPORTADORA COMBINADA,"  273,47 ",5/22/2025,,,,
TRANSPORTADORA COMBINADA,"  273,19 ",5/3/2025,,,,
TRANSPORTADORA COMBINADA,"  272,89 ",5/8/2025,,,,
TRANSPORTADORA COMBINADA,"  272,73 ",5/3/2025,,,,
TRANSPORTADORA COMBINADA,"  272,47 ",5/16/2025,,,,
TRANSPORTADORA COMBINADA,"  271,86 ",5/23/2025,,,,
TRANSPORTADORA COMBINADA,"  271,18 ",5/15/2025,,,,
TRANSPORTADORA COMBINADA,"  269,56 ",5/3/2025,,,,
TRANSPORTADORA COMBINADA,"  269,14 ",5/8/2025,,,,
TRANSPORTADORA COMBINADA,"  269,05 ",5/8/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  166,62 ",5/3/2025,,,,
TRANSPORTADORA COMBINADA,"  3.112,07 ",6/10/2025,,,,
DEMAIS TRANSPORTADORAS,"  2.923,96 ",6/10/2025,,,,
TRANSPORTADORA COMBINADA,"  2.775,89 ",6/10/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  1.417,70 ",6/27/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  1.012,26 ",6/25/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  1.006,39 ",6/28/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  1.006,39 ",6/28/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  905,97 ",6/4/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  884,83 ",6/4/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  884,83 ",6/19/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  884,83 ",6/10/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  884,83 ",6/13/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  866,17 ",6/3/2025,,,,
DEMAIS TRANSPORTADORAS,"  690,00 ",6/10/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  668,57 ",6/28/2025,,,,
TRANSPORTADORA COMBINADA,"  635,91 ",6/11/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  583,05 ",6/20/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  583,05 ",6/11/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  569,44 ",6/11/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  569,44 ",6/11/2025,,,,
TRANSPORTADORA COMBINADA,"  487,44 ",6/10/2025,,,,
TRANSPORTADORA COMBINADA,"  455,40 ",6/19/2025,,,,
TRANSPORTADORA COMBINADA,"  440,17 ",6/10/2025,,,,
TRANSPORTADORA COMBINADA,"  428,32 ",6/27/2025,,,,
TRANSPORTADORA COMBINADA,"  426,69 ",6/10/2025,,,,
TRANSPORTADORA COMBINADA,"  425,91 ",6/10/2025,,,,
TRANSPORTADORA COMBINADA,"  425,72 ",6/27/2025,,,,
TRANSPORTADORA COMBINADA,"  422,95 ",6/6/2025,,,,
TRANSPORTADORA COMBINADA,"  422,80 ",6/10/2025,,,,
TRANSPORTADORA COMBINADA,"  422,48 ",6/10/2025,,,,
TRANSPORTADORA COMBINADA,"  422,47 ",6/10/2025,,,,
TRANSPORTADORA COMBINADA,"  418,92 ",6/10/2025,,,,
TRANSPORTADORA COMBINADA,"  405,30 ",6/29/2025,,,,
TRANSPORTADORA COMBINADA,"  391,55 ",6/13/2025,,,,
TRANSPORTADORA COMBINADA,"  384,61 ",6/10/2025,,,,
TRANSPORTADORA COMBINADA,"  348,39 ",6/24/2025,,,,
TRANSPORTADORA COMBINADA,"  346,83 ",6/10/2025,,,,
TRANSPORTADORA COMBINADA,"  329,36 ",6/10/2025,,,,
TRANSPORTADORA COMBINADA,"  329,07 ",6/10/2025,,,,
TRANSPORTADORA COMBINADA,"  307,01 ",6/10/2025,,,,
TRANSPORTADORA COMBINADA,"  303,08 ",6/20/2025,,,,
TRANSPORTADORA COMBINADA,"  291,06 ",6/10/2025,,,,
TRANSPORTADORA COMBINADA,"  287,68 ",6/10/2025,,,,
TRANSPORTADORA COMBINADA,"  286,01 ",6/3/2025,,,,
TRANSPORTADORA COMBINADA,"  284,50 ",6/10/2025,,,,
TRANSPORTADORA COMBINADA,"  284,45 ",6/3/2025,,,,
TRANSPORTADORA COMBINADA,"  283,36 ",6/11/2025,,,,
TRANSPORTADORA COMBINADA,"  282,51 ",6/19/2025,,,,
TRANSPORTADORA COMBINADA,"  279,48 ",6/3/2025,,,,
TRANSPORTADORA COMBINADA,"  279,31 ",6/19/2025,,,,
TRANSPORTADORA COMBINADA,"  278,44 ",6/3/2025,,,,
TRANSPORTADORA COMBINADA,"  278,38 ",6/10/2025,,,,
TRANSPORTADORA COMBINADA,"  278,28 ",6/19/2025,,,,
TRANSPORTADORA COMBINADA,"  277,83 ",6/19/2025,,,,
TRANSPORTADORA COMBINADA,"  277,39 ",6/20/2025,,,,
TRANSPORTADORA COMBINADA,"  276,80 ",6/10/2025,,,,
TRANSPORTADORA COMBINADA,"  276,41 ",6/3/2025,,,,
TRANSPORTADORA COMBINADA,"  276,26 ",6/11/2025,,,,
TRANSPORTADORA COMBINADA,"  275,94 ",6/3/2025,,,,
TRANSPORTADORA COMBINADA,"  274,28 ",6/5/2025,,,,
TRANSPORTADORA COMBINADA,"  273,43 ",6/10/2025,,,,
TRANSPORTADORA COMBINADA,"  273,43 ",6/19/2025,,,,
TRANSPORTADORA COMBINADA,"  273,41 ",6/19/2025,,,,
TRANSPORTADORA COMBINADA,"  273,27 ",6/19/2025,,,,
TRANSPORTADORA COMBINADA,"  272,97 ",6/19/2025,,,,
TRANSPORTADORA COMBINADA,"  272,44 ",6/25/2025,,,,
TRANSPORTADORA COMBINADA,"  271,61 ",6/3/2025,,,,
TRANSPORTADORA COMBINADA,"  271,41 ",6/20/2025,,,,
TRANSPORTADORA COMBINADA,"  270,70 ",6/11/2025,,,,
TRANSPORTADORA COMBINADA,"  270,22 ",6/11/2025,,,,
TRANSPORTADORA COMBINADA,"  270,03 ",6/3/2025,,,,
TRANSPORTADORA COMBINADA,"  269,08 ",6/19/2025,,,,
TRANSPORTADORA COMBINADA,"  268,88 ",6/19/2025,,,,
TRANSPORTADORA COMBINADA,"  258,91 ",6/10/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  1.011,65 ",7/15/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  1.011,65 ",7/19/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  1.006,39 ",7/12/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  1.003,40 ",7/23/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  907,97 ",7/2/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  906,20 ",7/30/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  884,83 ",7/16/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  884,83 ",7/18/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  884,83 ",7/18/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  884,83 ",7/16/2025,,,,
DEMAIS TRANSPORTADORAS,"  872,91 ",7/12/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  699,67 ",7/23/2025,,,,
TRANSPORTADORA COMBINADA,"  662,74 ",7/12/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  583,05 ",7/24/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  583,05 ",7/26/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  583,05 ",7/23/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  569,44 ",7/12/2025,,,,
